Playbook No;Playbook Step;Playbook;Playbook Step;Tool required for executing the step ;Confidence Score
1;1-1;Phishing Incident Response;Collect the email addresses that the phishing email is sent.;EMAIL GATEWAY;5
1;1-2;Phishing Incident Response;Disable compromised email address to prevent further unauthorized access;IAM;4
1;1-3;Phishing Incident Response;Get account ID from email address;IAM;4
1;1-4;Phishing Incident Response;Diasble the account related to the compromised email;IAM;5
1;1-5;Phishing Incident Response;Change the password of the compromised account.;IAM;5
1;1-6;Phishing Incident Response;Notify the incident response team about the phishing incident;EMAIL GATEWAY;3
1;1-7;Phishing Incident Response;Get the ip address/addresses of the phishing email sender.;EMAIL GATEWAY;5
1;1-8;Phishing Incident Response;Block the email address that sent the phishing email.;EMAIL GATEWAY;5
1;1-9;Phishing Incident Response;Block the ip address that sent the phishing email.;FIREWALL;5
1;1-10;Phishing Incident Response;Scan the mail servers for possible vulnerabilities.;VULNERABILITY SCANNER;5
1;1-11;Phishing Incident Response;Apply patches and updates to the mail server if any vulnerability is detected.;PATCH MANAGER;5
2;2-1;Malware Infection Response;Isolate affected systems from the network to prevent further spread of malware;NAC;5
2;2-2;Malware Infection Response;Notify the incident response team about the malware infection;EMAIL GATEWAY;3
2;2-3;Malware Infection Response;Use up-to-date antivirus or anti-malware tools to scan and remove the malware from infected systems;EDR;5
2;2-4;Malware Infection Response;Scan the affected systems for possible vulnerabilities.;VULNERABILITY SCANNER;5
2;2-5;Malware Infection Response;Apply patches and updates to vulnerable software or operating systems if any vulnerability is detected.;PATCH MANAGER;5
2;2-6;Malware Infection Response;Restore affected systems from known good backups to ensure they are clean and free from malware;BACKUP & RESTORE MANAGER;1
2;2-7;Malware Infection Response;Validate the functionality of restored systems;APM;1
3;3-1;Ransomware Attack Response;Isolate affected systems to prevent the spread of ransomware to other assets;NAC;5
3;3-2;Ransomware Attack Response;Isolate affected networks to prevent the spread of ransomware to other assets;FIREWALL;5
3;3-3;Ransomware Attack Response;Notify the incident response team about the ransomware attack;EMAIL GATEWAY;3
3;3-4;Ransomware Attack Response;Restore affected systems and data from backups once the ransomware has been eradicated and systems have been secured;BACKUP & RESTORE MANAGER;1
